House_ID,Square_Feet,Num_Bedrooms,Num_Bathrooms,Year_Built,Price,City,Garage
1,2126,5,3,1970,612799,Chicago,True
2,3952,3,1,1977,671778,Phoenix,False
3,1999,2,2,1983,768462,Phoenix,True
4,3389,2,2,1980,338374,Houston,False
5,1063,3,2,1987,592119,Los Angeles,False
6,2292,4,1,2022,307229,Phoenix,False
7,1133,4,2,1990,128129,Los Angeles,True
8,1086,2,2,1991,684165,New York,False
9,3570,4,2,1981,161828,Chicago,False
10,1119,2,1,1988,121924,Phoenix,False
11,1632,3,2,1972,760220,Chicago,True
12,1010,3,1,1976,735592,Phoenix,True
13,1044,4,1,2005,403703,Phoenix,False
14,3807,2,1,1995,314232,Los Angeles,False
15,2021,2,2,1972,458197,New York,True
16,3840,4,3,1973,520908,New York,True
17,1752,5,2,1997,611737,Houston,False
18,1919,3,1,1999,796362,Los Angeles,True
19,2562,4,2,1984,419613,Chicago,False
20,3220,2,1,1988,560536,Chicago,False
21,1941,2,2,1979,291140,Chicago,True
22,1971,2,1,1982,733892,New York,False
23,1274,5,1,2010,786957,Phoenix,True
24,3196,5,2,1972,387131,Phoenix,False
25,1146,4,2,1973,364758,New York,False
26,3632,3,1,2012,605850,Chicago,False
27,2964,4,3,1983,406202,Phoenix,False
28,3334,4,2,1999,284359,Los Angeles,True
29,1281,4,2,2011,378141,Houston,True
30,3815,5,2,2012,401702,Los Angeles,True
31,2294,3,2,1987,711606,Phoenix,True
32,1876,4,2,1979,117499,Chicago,True
33,3095,4,2,1986,452601,Houston,True
34,1388,5,2,2017,439840,Chicago,True
35,1399,5,1,2022,785581,Los Angeles,True
36,1970,4,3,1972,569553,Houston,True
37,3007,5,2,2001,761407,Chicago,True
38,2037,5,3,1999,616657,Houston,True
39,1749,5,3,2001,316791,Los Angeles,True
40,2075,3,3,1994,363078,Houston,False
41,2806,2,3,1979,183374,Chicago,False
42,3404,3,1,2006,283750,Phoenix,False
43,2292,3,2,1983,553917,Phoenix,False
44,2209,3,3,2015,646524,New York,True
45,1854,2,2,1987,518220,Los Angeles,False
46,1432,5,1,1992,622992,Chicago,False
47,2006,5,2,1974,149348,New York,True
48,2511,2,3,1970,639118,Phoenix,False
49,3692,2,2,1975,341821,Chicago,True
50,2546,2,3,2013,701822,Houston,False
51,3016,5,1,2022,460196,Phoenix,False
52,2642,3,2,1995,741737,Chicago,False
53,1686,5,1,1977,706734,Chicago,False
54,1224,2,1,1995,726736,Chicago,True
55,2091,3,1,1992,485049,New York,False
56,3851,4,1,2014,335158,Phoenix,True
57,1706,4,2,1971,460650,Houston,True
58,3087,2,3,1990,549417,Los Angeles,True
59,1396,3,3,2006,130796,Chicago,True
60,1703,5,3,1973,799930,Phoenix,False
61,3840,5,3,2014,178001,Phoenix,False
62,1532,2,3,1971,384354,Chicago,True
63,3032,2,1,1974,427789,Houston,True
64,2398,2,1,1977,176401,Phoenix,False
65,3351,5,2,1996,775816,Los Angeles,False
66,3200,4,1,1986,292850,Chicago,False
67,2595,5,2,1973,468612,Chicago,False
68,3121,4,3,1983,507781,Phoenix,True
69,3962,3,3,1991,471771,Los Angeles,True
70,3147,5,2,2013,196466,Chicago,True
71,3807,2,1,2001,104502,Phoenix,False
72,3055,4,3,2019,241281,Chicago,False
73,3379,5,2,1987,665818,Houston,False
74,3246,4,3,2011,344725,Houston,False
75,3946,2,3,2009,734017,New York,False
76,2884,2,3,1972,387786,Chicago,True
77,2994,5,2,1971,558702,New York,True
78,3404,3,3,2011,475411,Los Angeles,True
79,2069,2,1,2022,516866,Phoenix,False
80,1180,4,2,2014,798587,Los Angeles,False
81,3644,3,2,2007,253789,Houston,True
82,1565,5,2,2016,349271,Chicago,False
83,3314,4,1,1971,372881,Phoenix,False
84,3580,5,3,1981,710082,New York,False
85,2552,2,1,1970,698373,Phoenix,True
86,3871,3,2,2002,412916,Chicago,True
87,3962,2,3,2019,605925,Los Angeles,False
88,2013,5,2,2020,671188,Chicago,False
89,1373,4,2,1993,236760,Houston,True
90,3489,4,1,2017,492104,Houston,True
91,1031,3,1,1981,391669,Houston,False
92,3342,3,1,1985,675104,New York,True
93,1870,2,3,1992,478230,Los Angeles,False
94,3742,3,1,1974,659024,Houston,True
95,3956,4,2,1987,676244,Chicago,True
96,1052,3,3,2017,193021,Phoenix,False
97,1580,5,1,1970,794985,Chicago,False
98,3833,2,2,1990,314909,New York,False
99,3732,3,3,2017,722339,New York,True
100,3059,4,3,2013,446674,Chicago,False
