Years of Experience,Salary
7,90885
20,101605
15,172303
11,258211
8,51613
21,287210
7,92669
19,361949
23,438269
11,244990
11,258518
24,224040
21,244118
4,12590
8,90215
24,366468
3,20787
22,371255
21,116389
2,18659
24,259818
12,222883
6,62350
2,18837
21,493333
1,23917
12,375378
22,360669
12,334936
25,415585
17,100846
10,50954
16,441383
15,344761
15,408658
19,450380
12,459723
23,237541
20,404245
25,164323
3,26608
5,22819
19,335659
7,42048
21,204537
9,52941
7,85375
18,142533
4,11828
25,101917
14,382762
18,132254
9,79756
21,147362
2,22977
20,290455
15,165545
7,56644
12,187958
8,49865
15,495435
3,17041
14,478892
17,105287
4,11619
18,108512
8,41342
4,20568
2,29216
6,91976
22,347754
10,67534
4,24231
22,197829
18,142078
12,468432
2,27988
10,71037
4,22219
14,362379
16,405073
15,227309
8,41908
14,239639
23,463978
25,296513
8,59019
21,435842
16,486594
13,348320
18,236487
15,267231
21,143925
24,237023
25,187388
13,108007
9,81832
15,158596
13,483245
1,25524
25,255002
7,40077
9,80345
24,225501
1,26984
12,114060
8,57449
24,405447
11,290279
19,306118
17,260359
8,68173
3,16943
3,21954
1,17804
5,16565
10,45984
7,61526
9,77438
7,58574
9,49184
8,59096
12,167728
2,11248
1,21246
16,489940
23,192263
23,497234
24,111302
5,11970
3,18389
12,154917
8,67202
22,196646
3,27586
1,25374
3,15788
5,15408
15,159379
14,125053
3,19446
1,10922
5,10419
23,151356
14,372933
7,72184
9,41120
15,406172
15,426628
10,72154
13,313942
19,364480
7,78141
17,429923
20,381173
4,14612
5,23946
23,274944
7,86197
13,487877
15,254782
11,260558
4,16371
13,491020
7,46359
19,426579
22,402775
2,13228
10,60103
13,164772
25,226108
21,114382
6,58755
12,463339
12,234828
20,382753
11,247550
23,332050
25,437827
7,73561
1,12116
1,15779
25,439978
25,488349
20,114153
13,176325
9,84165
3,22999
7,95318
6,40814
8,89497
9,50541
5,12443
1,20457
19,306988
10,47783
12,225885
24,471921
15,117368
22,246400
24,288014
9,66215
20,330203
17,389450
17,270987
20,399363
12,311951
7,86403
2,15959
3,10126
17,414473
5,18795
17,296382
24,209945
17,417320
17,350869
2,17196
2,21559
22,234869
23,278954
5,23718
1,11792
1,21053
19,384260
2,13476
21,232717
12,278595
6,98549
23,479862
4,29256
23,200158
11,284245
24,268502
17,481863
6,42708
24,242766
5,19524
20,157545
2,29891
6,79224
22,460089
11,113224
16,140738
16,425875
1,26920
9,74393
6,83082
16,239649
3,18070
20,226161
4,18666
19,419905
3,13600
19,237855
20,141914
7,44971
20,227738
9,53490
1,27589
8,85719
7,85080
18,429670
8,45299
1,22997
11,382100
25,318967
25,408384
18,483152
23,194270
10,44757
3,29097
7,50395
16,247313
16,466036
25,258768
20,346726
17,432624
2,23395
1,29816
16,333619
12,414997
5,19916
5,19984
23,101759
9,81949
9,66838
3,12482
19,386586
16,193501
16,364223
3,12717
20,159676
24,317516
22,273532
24,190397
1,17311
24,193607
20,320178
11,249521
17,164077
8,78258
4,25534
6,68865
8,46645
20,481915
3,15232
16,126737
25,373629
3,15797
25,481758
18,427299
14,286240
18,152487
2,22342
22,402950
3,26002
16,178623
9,77641
4,11481
1,20093
4,29835
1,24422
14,313046
21,205947
16,388543
20,228177
24,316454
8,55708
7,84039
3,27216
17,473048
1,20998
16,392822
12,176218
19,163230
22,345756
23,436199
22,262552
14,434402
6,79986
6,64160
13,447739
19,201358
22,427073
8,47970
2,12143
21,449271
1,19503
15,475597
1,28922
5,22175
16,481379
19,416915
4,18356
3,25070
17,166358
17,147057
12,368294
14,366569
21,354726
6,56032
3,12198
9,93394
5,13452
24,244931
17,262491
14,481009
21,360910
3,29978
1,14841
20,246430
21,330785
23,194914
1,14566
3,21382
18,478387
25,114596
10,73572
22,232351
3,23192
8,47083
14,220674
24,482451
18,357529
15,340469
22,356713
23,119063
2,12106
10,64557
2,26086
17,317215
8,77599
1,29152
9,68529
11,135954
22,127856
16,102573
7,52808
10,75367
23,337804
3,11304
18,422918
25,123752
24,417173
13,248757
7,91693
25,216739
4,18633
13,356028
20,307980
1,18996
8,56458
14,418277
16,423412
14,288456
12,131653
19,257729
23,328504
15,221829
2,22875
2,11622
23,148756
22,140809
19,116725
25,292468
22,151226
22,181182
17,129402
20,104263
10,97953
6,70987
15,277900
22,147924
11,436326
5,21664
1,12969
8,75796
21,451707
12,260445
12,267469
5,13067
7,78709
4,27770
6,59250
13,121172
20,111555
15,153276
3,16819
23,322320
8,64762
20,111046
16,328071
13,478165
18,284374
10,63150
19,366997
17,220900
24,159129
19,337091
23,305550
5,25507
21,214130
23,246922
9,52112
12,221789
21,255130
1,22652
1,16122
15,166017
2,24536
22,263993
16,232596
25,200424
8,55048
13,268976
21,417056
1,11240
16,493276
7,49130
5,28023
22,155337
23,472760
3,23350
12,124354
16,145186
19,128145
5,11252
22,186123
25,306258
14,316541
